policy,profile,seed,deadline_ms,frames,mean_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,mean_final_latency_ms,deadline_miss_rate,mean_output_confidence,usable_confidence_proxy,total_bandwidth_kb,bandwidth_per_frame_kb,bandwidth_per_1000_frames_kb,fallback_rate,reuse_rate,stale_acceptance_rate,remote_attempt_rate,remote_success_rate,remote_accept_rate,remote_accepted_per_frame,remote_rejected_deadline_rate,remote_rejected_freshness_rate,remote_failed_loss_rate,remote_unreachable_rate,pct_local_fast,pct_edge_accurate,pct_hybrid,pct_degraded_safe,mode_switches,mode_switches_per_1000,deadline_sweep_ms
cloud_only,stable,104,50.0,1000,74.98622097286207,83.86011537767014,84.7483740861996,84.98656616097203,74.98622097286207,1.0,0.7240926018777877,0.0,35000.0,35.0,35000.0,1.0,0.0,0.0,1.0,0.991,0.0,0.0,0.991,0.0,0.009,0.0,0.0,100.0,0.0,0.0,0,0.0,50.0
dapper,stable,104,50.0,1000,24.98622097286207,33.860115377670134,34.74837408619961,34.98656616097203,24.98622097286207,0.0,0.7240926018777877,0.7240926018777877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
deadline_greedy,stable,104,50.0,1000,24.98622097286207,33.860115377670134,34.74837408619961,34.98656616097203,24.98622097286207,0.0,0.7240926018777877,0.7240926018777877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
confidence_deadline,stable,104,50.0,1000,24.98622097286207,33.860115377670134,34.74837408619961,34.98656616097203,24.98622097286207,0.0,0.7240926018777877,0.7240926018777877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
rtt_threshold,stable,104,50.0,1000,24.98622097286207,33.860115377670134,34.74837408619961,34.98656616097203,24.98622097286207,0.0,0.7240926018777877,0.7240926018777877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
oracle_feasible,stable,104,50.0,1000,24.98622097286207,33.860115377670134,34.74837408619961,34.98656616097203,24.98622097286207,0.0,0.7240926018777877,0.7240926018777877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
local_only,stable,105,50.0,1000,24.85634769037545,33.82025179084476,34.62504012903672,34.93314580405199,24.85634769037545,0.0,0.7262361051095783,0.7262361051095783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
edge_only,stable,105,50.0,1000,74.85634769037544,83.82025179084475,84.62504012903672,84.93314580405199,74.85634769037544,1.0,0.7262361051095783,0.0,25000.0,25.0,25000.0,1.0,0.0,0.0,1.0,0.99,0.0,0.0,0.99,0.0,0.01,0.0,0.0,100.0,0.0,0.0,0,0.0,50.0
cloud_only,stable,105,50.0,1000,74.85634769037544,83.82025179084475,84.62504012903672,84.93314580405199,74.85634769037544,1.0,0.7262361051095783,0.0,35000.0,35.0,35000.0,1.0,0.0,0.0,1.0,0.991,0.0,0.0,0.991,0.0,0.009,0.0,0.0,100.0,0.0,0.0,0,0.0,50.0
dapper,stable,105,50.0,1000,24.85634769037545,33.82025179084476,34.62504012903672,34.93314580405199,24.85634769037545,0.0,0.7262361051095783,0.7262361051095783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
deadline_greedy,stable,105,50.0,1000,24.85634769037545,33.82025179084476,34.62504012903672,34.93314580405199,24.85634769037545,0.0,0.7262361051095783,0.7262361051095783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
confidence_deadline,stable,105,50.0,1000,24.85634769037545,33.82025179084476,34.62504012903672,34.93314580405199,24.85634769037545,0.0,0.7262361051095783,0.7262361051095783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
rtt_threshold,stable,105,50.0,1000,24.85634769037545,33.82025179084476,34.62504012903672,34.93314580405199,24.85634769037545,0.0,0.7262361051095783,0.7262361051095783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
oracle_feasible,stable,105,50.0,1000,24.85634769037545,33.82025179084476,34.62504012903672,34.93314580405199,24.85634769037545,0.0,0.7262361051095783,0.7262361051095783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
local_only,stable,106,50.0,1000,24.716410963251104,33.86074949026578,34.68730165917939,34.933586993197196,24.716410963251104,0.0,0.7229428904328138,0.7229428904328138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
edge_only,stable,106,50.0,1000,74.7164109632511,83.86074949026579,84.68730165917938,84.9335869931972,74.7164109632511,1.0,0.7229428904328138,0.0,25000.0,25.0,25000.0,1.0,0.0,0.0,1.0,0.992,0.0,0.0,0.992,0.0,0.008,0.0,0.0,100.0,0.0,0.0,0,0.0,50.0
cloud_only,stable,106,50.0,1000,74.7164109632511,83.86074949026579,84.68730165917938,84.9335869931972,74.7164109632511,1.0,0.7229428904328138,0.0,35000.0,35.0,35000.0,1.0,0.0,0.0,1.0,0.991,0.0,0.0,0.991,0.0,0.009,0.0,0.0,100.0,0.0,0.0,0,0.0,50.0
dapper,stable,106,50.0,1000,24.716410963251104,33.86074949026578,34.68730165917939,34.933586993197196,24.716410963251104,0.0,0.7229428904328138,0.7229428904328138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
deadline_greedy,stable,106,50.0,1000,24.716410963251104,33.86074949026578,34.68730165917939,34.933586993197196,24.716410963251104,0.0,0.7229428904328138,0.7229428904328138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
