deadline_sweep_ms,profile,policy,metric,mean,std,ci_lo,ci_hi,n_seeds
50.0,stable,deadline_greedy,pct_edge_accurate,0.0,0.0,0.0,0.0,30
50.0,stable,deadline_greedy,pct_hybrid,0.0,0.0,0.0,0.0,30
50.0,stable,deadline_greedy,pct_degraded_safe,0.0,0.0,0.0,0.0,30
50.0,stable,confidence_deadline,deadline_miss_rate,0.0,0.0,0.0,0.0,30
50.0,stable,confidence_deadline,p95_latency_ms,33.984265110354684,0.14612908292769589,33.9343159514038,34.036015368498674,30
50.0,stable,confidence_deadline,p99_latency_ms,34.78401367177919,0.06560311317343774,34.76065987728268,34.806824911760046,30
50.0,stable,confidence_deadline,mean_latency_ms,25.02027748999063,0.19474756789946776,24.952896569039584,25.094599531312916,30
50.0,stable,confidence_deadline,usable_confidence_proxy,0.7249667322554326,0.0015304909747104968,0.7244513387101592,0.7255071023390036,30
50.0,stable,confidence_deadline,mean_output_confidence,0.7249667322554326,0.0015304909747104968,0.7244513387101592,0.7255071023390036,30
50.0,stable,confidence_deadline,bandwidth_per_1000_frames_kb,0.0,0.0,0.0,0.0,30
50.0,stable,confidence_deadline,remote_attempt_rate,0.0,0.0,0.0,0.0,30
50.0,stable,confidence_deadline,remote_accept_rate,0.0,0.0,0.0,0.0,30
50.0,stable,confidence_deadline,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
50.0,stable,confidence_deadline,remote_rejected_deadline_rate,0.0,0.0,0.0,0.0,30
50.0,stable,confidence_deadline,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
50.0,stable,confidence_deadline,fallback_rate,0.0,0.0,0.0,0.0,30
50.0,stable,confidence_deadline,reuse_rate,0.0,0.0,0.0,0.0,30
50.0,stable,confidence_deadline,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
50.0,stable,confidence_deadline,mode_switches_per_1000,0.0,0.0,0.0,0.0,30
50.0,stable,confidence_deadline,pct_local_fast,100.0,0.0,100.0,100.0,30
50.0,stable,confidence_deadline,pct_edge_accurate,0.0,0.0,0.0,0.0,30
50.0,stable,confidence_deadline,pct_hybrid,0.0,0.0,0.0,0.0,30
50.0,stable,confidence_deadline,pct_degraded_safe,0.0,0.0,0.0,0.0,30
50.0,stable,rtt_threshold,deadline_miss_rate,0.0,0.0,0.0,0.0,30
50.0,stable,rtt_threshold,p95_latency_ms,33.984265110354684,0.14612908292769589,33.9343159514038,34.036015368498674,30
50.0,stable,rtt_threshold,p99_latency_ms,34.78401367177919,0.06560311317343774,34.76065987728268,34.806824911760046,30
50.0,stable,rtt_threshold,mean_latency_ms,25.02027748999063,0.19474756789946776,24.952896569039584,25.094599531312916,30
50.0,stable,rtt_threshold,usable_confidence_proxy,0.7249667322554326,0.0015304909747104968,0.7244513387101592,0.7255071023390036,30
50.0,stable,rtt_threshold,mean_output_confidence,0.7249667322554326,0.0015304909747104968,0.7244513387101592,0.7255071023390036,30
50.0,stable,rtt_threshold,bandwidth_per_1000_frames_kb,0.0,0.0,0.0,0.0,30
50.0,stable,rtt_threshold,remote_attempt_rate,0.0,0.0,0.0,0.0,30
50.0,stable,rtt_threshold,remote_accept_rate,0.0,0.0,0.0,0.0,30
50.0,stable,rtt_threshold,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
50.0,stable,rtt_threshold,remote_rejected_deadline_rate,0.0,0.0,0.0,0.0,30
50.0,stable,rtt_threshold,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
50.0,stable,rtt_threshold,fallback_rate,0.0,0.0,0.0,0.0,30
50.0,stable,rtt_threshold,reuse_rate,0.0,0.0,0.0,0.0,30
50.0,stable,rtt_threshold,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
50.0,stable,rtt_threshold,mode_switches_per_1000,0.0,0.0,0.0,0.0,30
50.0,stable,rtt_threshold,pct_local_fast,100.0,0.0,100.0,100.0,30
50.0,stable,rtt_threshold,pct_edge_accurate,0.0,0.0,0.0,0.0,30
50.0,stable,rtt_threshold,pct_hybrid,0.0,0.0,0.0,0.0,30
50.0,stable,rtt_threshold,pct_degraded_safe,0.0,0.0,0.0,0.0,30
50.0,stable,oracle_feasible,deadline_miss_rate,0.0,0.0,0.0,0.0,30
50.0,stable,oracle_feasible,p95_latency_ms,33.984265110354684,0.14612908292769589,33.9343159514038,34.036015368498674,30
50.0,stable,oracle_feasible,p99_latency_ms,34.78401367177919,0.06560311317343774,34.76065987728268,34.806824911760046,30
50.0,stable,oracle_feasible,mean_latency_ms,25.02027748999063,0.19474756789946776,24.952896569039584,25.094599531312916,30
50.0,stable,oracle_feasible,usable_confidence_proxy,0.7249667322554326,0.0015304909747104968,0.7244513387101592,0.7255071023390036,30
50.0,stable,oracle_feasible,mean_output_confidence,0.7249667322554326,0.0015304909747104968,0.7244513387101592,0.7255071023390036,30
50.0,stable,oracle_feasible,bandwidth_per_1000_frames_kb,0.0,0.0,0.0,0.0,30
50.0,stable,oracle_feasible,remote_attempt_rate,0.0,0.0,0.0,0.0,30
50.0,stable,oracle_feasible,remote_accept_rate,0.0,0.0,0.0,0.0,30
50.0,stable,oracle_feasible,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
50.0,stable,oracle_feasible,remote_rejected_deadline_rate,0.0,0.0,0.0,0.0,30
50.0,stable,oracle_feasible,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
50.0,stable,oracle_feasible,fallback_rate,0.0,0.0,0.0,0.0,30
50.0,stable,oracle_feasible,reuse_rate,0.0,0.0,0.0,0.0,30
50.0,stable,oracle_feasible,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
50.0,stable,oracle_feasible,mode_switches_per_1000,0.0,0.0,0.0,0.0,30
50.0,stable,oracle_feasible,pct_local_fast,100.0,0.0,100.0,100.0,30
50.0,stable,oracle_feasible,pct_edge_accurate,0.0,0.0,0.0,0.0,30
50.0,stable,oracle_feasible,pct_hybrid,0.0,0.0,0.0,0.0,30
50.0,stable,oracle_feasible,pct_degraded_safe,0.0,0.0,0.0,0.0,30
50.0,congested,local_only,deadline_miss_rate,0.0,0.0,0.0,0.0,30
50.0,congested,local_only,p95_latency_ms,33.94268972592376,0.09803104261482531,33.906854831430806,33.97630119170664,30
50.0,congested,local_only,p99_latency_ms,34.769178949662624,0.05524239382592479,34.748642896298946,34.7879694671568,30
50.0,congested,local_only,mean_latency_ms,25.012597088142645,0.18113657767527264,24.949225112390963,25.077791277753096,30
50.0,congested,local_only,usable_confidence_proxy,0.7249282051819181,0.0016092933478095927,0.7243536843822596,0.725520489679899,30
50.0,congested,local_only,mean_output_confidence,0.7249282051819181,0.0016092933478095927,0.7243536843822596,0.725520489679899,30
50.0,congested,local_only,bandwidth_per_1000_frames_kb,0.0,0.0,0.0,0.0,30
50.0,congested,local_only,remote_attempt_rate,0.0,0.0,0.0,0.0,30
50.0,congested,local_only,remote_accept_rate,0.0,0.0,0.0,0.0,30
50.0,congested,local_only,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
50.0,congested,local_only,remote_rejected_deadline_rate,0.0,0.0,0.0,0.0,30
50.0,congested,local_only,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
50.0,congested,local_only,fallback_rate,0.0,0.0,0.0,0.0,30
50.0,congested,local_only,reuse_rate,0.0,0.0,0.0,0.0,30
50.0,congested,local_only,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
50.0,congested,local_only,mode_switches_per_1000,0.0,0.0,0.0,0.0,30
50.0,congested,local_only,pct_local_fast,100.0,0.0,100.0,100.0,30
50.0,congested,local_only,pct_edge_accurate,0.0,0.0,0.0,0.0,30
50.0,congested,local_only,pct_hybrid,0.0,0.0,0.0,0.0,30
50.0,congested,local_only,pct_degraded_safe,0.0,0.0,0.0,0.0,30
50.0,congested,edge_only,deadline_miss_rate,1.0,0.0,1.0,1.0,30
50.0,congested,edge_only,p95_latency_ms,83.9426897259238,0.0980310426148264,83.9068548314308,83.97630119170667,30
50.0,congested,edge_only,p99_latency_ms,84.76917894966262,0.0552423938259245,84.74864289629895,84.78796946715677,30
50.0,congested,edge_only,mean_latency_ms,75.01259708814266,0.18113657767527402,74.94922511239096,75.0777912777531,30
50.0,congested,edge_only,usable_confidence_proxy,0.0,0.0,0.0,0.0,30
50.0,congested,edge_only,mean_output_confidence,0.7249282051819181,0.0016092933478095927,0.7243536843822596,0.725520489679899,30
50.0,congested,edge_only,bandwidth_per_1000_frames_kb,25000.0,0.0,25000.0,25000.0,30
50.0,congested,edge_only,remote_attempt_rate,1.0,0.0,1.0,1.0,30
50.0,congested,edge_only,remote_accept_rate,0.0,0.0,0.0,0.0,30
50.0,congested,edge_only,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
50.0,congested,edge_only,remote_rejected_deadline_rate,0.9504666666666668,0.007682193173438355,0.9477991666666665,0.9531666666666666,30
50.0,congested,edge_only,remote_failed_loss_rate,0.04953333333333333,0.007682193173438364,0.04683333333333333,0.05220083333333333,30
50.0,congested,edge_only,fallback_rate,1.0,0.0,1.0,1.0,30
50.0,congested,edge_only,reuse_rate,0.0,0.0,0.0,0.0,30
50.0,congested,edge_only,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
50.0,congested,edge_only,mode_switches_per_1000,0.0,0.0,0.0,0.0,30
50.0,congested,edge_only,pct_local_fast,0.0,0.0,0.0,0.0,30
50.0,congested,edge_only,pct_edge_accurate,100.0,0.0,100.0,100.0,30
50.0,congested,edge_only,pct_hybrid,0.0,0.0,0.0,0.0,30
50.0,congested,edge_only,pct_degraded_safe,0.0,0.0,0.0,0.0,30
50.0,congested,cloud_only,deadline_miss_rate,1.0,0.0,1.0,1.0,30
50.0,congested,cloud_only,p95_latency_ms,83.9426897259238,0.0980310426148264,83.9068548314308,83.97630119170667,30
50.0,congested,cloud_only,p99_latency_ms,84.76917894966262,0.0552423938259245,84.74864289629895,84.78796946715677,30
50.0,congested,cloud_only,mean_latency_ms,75.01259708814266,0.18113657767527402,74.94922511239096,75.0777912777531,30
50.0,congested,cloud_only,usable_confidence_proxy,0.0,0.0,0.0,0.0,30
50.0,congested,cloud_only,mean_output_confidence,0.7249282051819181,0.0016092933478095927,0.7243536843822596,0.725520489679899,30
50.0,congested,cloud_only,bandwidth_per_1000_frames_kb,35000.0,0.0,35000.0,35000.0,30
50.0,congested,cloud_only,remote_attempt_rate,1.0,0.0,1.0,1.0,30
50.0,congested,cloud_only,remote_accept_rate,0.0,0.0,0.0,0.0,30
50.0,congested,cloud_only,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
50.0,congested,cloud_only,remote_rejected_deadline_rate,0.9505666666666667,0.00714231360821974,0.9480000000000001,0.9531333333333333,30
50.0,congested,cloud_only,remote_failed_loss_rate,0.049433333333333336,0.007142313608219744,0.04686666666666666,0.052000000000000005,30
50.0,congested,cloud_only,fallback_rate,1.0,0.0,1.0,1.0,30
50.0,congested,cloud_only,reuse_rate,0.0,0.0,0.0,0.0,30
50.0,congested,cloud_only,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
50.0,congested,cloud_only,mode_switches_per_1000,0.0,0.0,0.0,0.0,30
50.0,congested,cloud_only,pct_local_fast,0.0,0.0,0.0,0.0,30
50.0,congested,cloud_only,pct_edge_accurate,100.0,0.0,100.0,100.0,30
50.0,congested,cloud_only,pct_hybrid,0.0,0.0,0.0,0.0,30
50.0,congested,cloud_only,pct_degraded_safe,0.0,0.0,0.0,0.0,30
50.0,congested,dapper,deadline_miss_rate,0.0,0.0,0.0,0.0,30
50.0,congested,dapper,p95_latency_ms,31.17566236969955,0.565378024877644,30.979558504075495,31.371327538420942,30
50.0,congested,dapper,p99_latency_ms,34.182737841466626,0.23376078903860192,34.101392085392895,34.265759709914235,30
50.0,congested,dapper,mean_latency_ms,7.393862425516067,0.14062005255142251,7.345303038455656,7.4446031790972285,30
50.0,congested,dapper,usable_confidence_proxy,0.7250032898678017,0.002514460325082457,0.7241310356763581,0.7258902759837533,30
50.0,congested,dapper,mean_output_confidence,0.7250032898678017,0.002514460325082457,0.7241310356763581,0.7258902759837533,30
50.0,congested,dapper,bandwidth_per_1000_frames_kb,0.0,0.0,0.0,0.0,30
50.0,congested,dapper,remote_attempt_rate,0.0,0.0,0.0,0.0,30
50.0,congested,dapper,remote_accept_rate,0.0,0.0,0.0,0.0,30
50.0,congested,dapper,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
50.0,congested,dapper,remote_rejected_deadline_rate,0.0,0.0,0.0,0.0,30
50.0,congested,dapper,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
50.0,congested,dapper,fallback_rate,0.9980666666666667,0.001387961376122981,0.9975666666666665,0.9985333333333333,30
50.0,congested,dapper,reuse_rate,0.7338333333333331,0.003097087990837284,0.7327333333333333,0.7349,30
50.0,congested,dapper,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
50.0,congested,dapper,mode_switches_per_1000,3.1666666666666665,2.5472545509089657,2.3333333333333335,4.1,30
50.0,congested,dapper,pct_local_fast,0.19333333333333333,0.13879613761229795,0.14666666666666667,0.24333333333333335,30
50.0,congested,dapper,pct_edge_accurate,0.0,0.0,0.0,0.0,30
50.0,congested,dapper,pct_hybrid,0.0,0.0,0.0,0.0,30
