bias_target,bias,profile,policy,metric,mean,std,ci_lo,ci_hi,n_seeds
rtt,-0.1,stable,dapper,remote_failed_loss_rate,0.011160401044939667,0.0032782175425864904,0.010069906399418155,0.012335025962814114,30
rtt,-0.1,stable,dapper,fallback_rate,0.0,0.0,0.0,0.0,30
rtt,-0.1,stable,dapper,reuse_rate,0.0,0.0,0.0,0.0,30
rtt,-0.1,stable,dapper,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
rtt,-0.1,stable,dapper,mode_switches_per_1000,233.3,23.550605819867112,225.26666666666668,241.90083333333334,30
rtt,-0.1,stable,dapper,pct_local_fast,13.513333333333334,1.3433702684520452,13.06,13.993416666666668,30
rtt,-0.1,stable,dapper,pct_edge_accurate,0.0,0.0,0.0,0.0,30
rtt,-0.1,stable,dapper,pct_hybrid,86.48666666666666,1.3433702684520459,86.00658333333332,86.93999999999998,30
rtt,-0.1,stable,dapper,pct_degraded_safe,0.0,0.0,0.0,0.0,30
rtt,-0.1,congested,dapper,deadline_miss_rate,0.0,0.0,0.0,0.0,30
rtt,-0.1,congested,dapper,p95_latency_ms,33.94268972592376,0.09803104261482531,33.906854831430806,33.97630119170664,30
rtt,-0.1,congested,dapper,p99_latency_ms,34.769178949662624,0.05524239382592479,34.748642896298946,34.7879694671568,30
rtt,-0.1,congested,dapper,mean_latency_ms,25.012597088142645,0.18113657767527264,24.949225112390963,25.077791277753096,30
rtt,-0.1,congested,dapper,usable_confidence_proxy,0.7249282051819181,0.0016092933478095927,0.7243536843822596,0.725520489679899,30
rtt,-0.1,congested,dapper,mean_output_confidence,0.7249282051819181,0.0016092933478095927,0.7243536843822596,0.725520489679899,30
rtt,-0.1,congested,dapper,bandwidth_per_1000_frames_kb,21.666666666666668,23.427560152791067,14.166666666666666,30.833333333333332,30
rtt,-0.1,congested,dapper,remote_attempt_rate,0.0008666666666666667,0.0009371024061116427,0.0005666666666666667,0.0012333333333333335,30
rtt,-0.1,congested,dapper,remote_accept_rate,0.0,0.0,0.0,0.0,30
rtt,-0.1,congested,dapper,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
rtt,-0.1,congested,dapper,remote_rejected_deadline_rate,0.5,0.4913036844405175,0.3333333333333333,0.6833333333333333,30
rtt,-0.1,congested,dapper,remote_failed_loss_rate,0.06666666666666667,0.21708624272765237,0.0,0.15,30
rtt,-0.1,congested,dapper,fallback_rate,0.0,0.0,0.0,0.0,30
rtt,-0.1,congested,dapper,reuse_rate,0.0,0.0,0.0,0.0,30
rtt,-0.1,congested,dapper,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
rtt,-0.1,congested,dapper,mode_switches_per_1000,1.5333333333333334,1.6344003083137535,1.0,2.1333333333333333,30
rtt,-0.1,congested,dapper,pct_local_fast,99.91333333333334,0.09371024061116413,99.8766666666667,99.94333333333336,30
rtt,-0.1,congested,dapper,pct_edge_accurate,0.0,0.0,0.0,0.0,30
rtt,-0.1,congested,dapper,pct_hybrid,0.08666666666666667,0.09371024061116426,0.056666666666666664,0.12333333333333334,30
rtt,-0.1,congested,dapper,pct_degraded_safe,0.0,0.0,0.0,0.0,30
rtt,-0.1,variable,dapper,deadline_miss_rate,0.0,0.0,0.0,0.0,30
rtt,-0.1,variable,dapper,p95_latency_ms,33.74708707542259,0.21098096606262806,33.67386186238893,33.82170809288952,30
rtt,-0.1,variable,dapper,p99_latency_ms,34.71765433245266,0.09108332071810102,34.68283850182844,34.74691236534769,30
rtt,-0.1,variable,dapper,mean_latency_ms,20.934680974122458,0.7320498519160612,20.679611381442797,21.193179793822125,30
rtt,-0.1,variable,dapper,usable_confidence_proxy,0.7315354262444939,0.0025020724369843278,0.7306361997684925,0.7323676635548986,30
rtt,-0.1,variable,dapper,mean_output_confidence,0.7256017315099103,0.001956117333630121,0.7249314909577123,0.7262786261583939,30
rtt,-0.1,variable,dapper,bandwidth_per_1000_frames_kb,7837.5,703.6159684334082,7595.8125,8083.333333333333,30
rtt,-0.1,variable,dapper,remote_attempt_rate,0.3135,0.028144638737336324,0.3038325,0.3233333333333333,30
rtt,-0.1,variable,dapper,remote_accept_rate,0.11736449850213827,0.023000093393342438,0.10923835404721101,0.1252817590811196,30
rtt,-0.1,variable,dapper,remote_accepted_per_frame,0.03679999999999999,0.008243701880202556,0.03400000000000001,0.03976666666666666,30
rtt,-0.1,variable,dapper,remote_rejected_deadline_rate,0.8124583859500897,0.024727944501469423,0.8037648850750096,0.8212504910478159,30
rtt,-0.1,variable,dapper,remote_failed_loss_rate,0.07017711554777208,0.015480518626964927,0.06461854424377338,0.07562674141802571,30
rtt,-0.1,variable,dapper,fallback_rate,0.2182,0.0399580814837508,0.20440000000000003,0.2324341666666666,30
rtt,-0.1,variable,dapper,reuse_rate,0.16706666666666667,0.030296162649160168,0.15660000000000002,0.17786666666666667,30
rtt,-0.1,variable,dapper,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
rtt,-0.1,variable,dapper,mode_switches_per_1000,346.96666666666664,17.249654336033625,341.0325,352.93333333333334,30
rtt,-0.1,variable,dapper,pct_local_fast,51.94333333333334,2.8805750543386583,50.9265,52.93341666666667,30
rtt,-0.1,variable,dapper,pct_edge_accurate,0.0,0.0,0.0,0.0,30
rtt,-0.1,variable,dapper,pct_hybrid,31.35,2.8144638737336316,30.38325,32.333333333333336,30
rtt,-0.1,variable,dapper,pct_degraded_safe,16.706666666666663,3.029616264916017,15.66,17.786666666666665,30
rtt,0.0,stable,dapper,deadline_miss_rate,0.0,0.0,0.0,0.0,30
