policy,profile,seed,deadline_ms,frames,mean_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,mean_final_latency_ms,deadline_miss_rate,mean_output_confidence,usable_confidence_proxy,total_bandwidth_kb,bandwidth_per_frame_kb,bandwidth_per_1000_frames_kb,fallback_rate,reuse_rate,stale_acceptance_rate,remote_attempt_rate,remote_success_rate,remote_accept_rate,remote_accepted_per_frame,remote_rejected_deadline_rate,remote_rejected_freshness_rate,remote_failed_loss_rate,remote_unreachable_rate,pct_local_fast,pct_edge_accurate,pct_hybrid,pct_degraded_safe,mode_switches,mode_switches_per_1000,bias_target,rtt_estimate_bias,compute_estimate_bias,bias
dapper,congested,101,100.0,1000,25.026673523971784,34.03466107987438,34.84243479054015,34.99327875607795,25.026673523971784,0.0,0.7239603822715144,0.7239603822715144,0.0,0.0,0.0,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.3,0.0,0.0,0.7000000000000001,12,12.0,compute,0.0,0.2,0.2
dapper,congested,102,100.0,1000,24.829712790777762,33.96479457393766,34.69588731781126,34.989536221406055,24.829712790777762,0.0,0.7270052366898776,0.7270052366898776,0.0,0.0,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,0.0,0.0,0.8,14,14.0,compute,0.0,0.2,0.2
dapper,congested,103,100.0,1000,24.892785643695664,34.09454856492267,34.78542999553827,34.985893217625524,24.892785643695664,0.0,0.7249187188165734,0.7249187188165734,0.0,0.0,0.0,0.006,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.4,0.0,0.0,0.6,12,12.0,compute,0.0,0.2,0.2
dapper,congested,104,100.0,1000,24.77796847513708,33.81394766067372,34.81048977789511,34.94578824107255,24.77796847513708,0.0,0.7272547943451833,0.7272547943451833,0.0,0.0,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,0.0,0.0,0.8,14,14.0,compute,0.0,0.2,0.2
dapper,congested,105,100.0,1000,24.677162661323955,34.007432758127685,34.86009343610894,34.98145078352877,24.677162661323955,0.0,0.7241646482306923,0.7241646482306923,0.0,0.0,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,0.0,0.0,0.8,12,12.0,compute,0.0,0.2,0.2
dapper,congested,106,100.0,1000,24.772684967250918,33.98450796903268,34.753821099438774,34.98979405154197,24.772684967250918,0.0,0.7262080408789683,0.7262080408789683,0.0,0.0,0.0,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.3,0.0,0.0,0.7000000000000001,8,8.0,compute,0.0,0.2,0.2
dapper,congested,107,100.0,1000,24.763848167260303,33.88426057014752,34.77470672268729,34.998762184541775,24.763848167260303,0.0,0.7257346306649486,0.7257346306649486,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.5,0.0,0.0,0.5,8,8.0,compute,0.0,0.2,0.2
dapper,congested,108,100.0,1000,24.953177155047733,33.943119032195405,34.814499351033405,34.99655745974279,24.953177155047733,0.0,0.7244295155267036,0.7244295155267036,0.0,0.0,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,0.0,0.0,0.8,14,14.0,compute,0.0,0.2,0.2
dapper,congested,109,100.0,1000,24.847059358357548,33.93181537323021,34.785030538309286,34.98925809716232,24.847059358357548,0.0,0.7234323551786083,0.7234323551786083,0.0,0.0,0.0,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.3,0.0,0.0,0.7000000000000001,10,10.0,compute,0.0,0.2,0.2
dapper,congested,110,100.0,1000,24.70223165713215,33.71973175922034,34.60151524624712,34.90888622322395,24.70223165713215,0.0,0.7246938266396346,0.7246938266396346,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.5,0.0,0.0,0.5,8,8.0,compute,0.0,0.2,0.2
dapper,congested,111,100.0,1000,24.94253826558974,33.995133250212476,34.74455155405684,34.96241421096305,24.94253826558974,0.0,0.7254545302713125,0.7254545302713125,0.0,0.0,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,0.0,0.0,0.8,14,14.0,compute,0.0,0.2,0.2
dapper,congested,112,100.0,1000,24.86963877249279,33.90095224371657,34.76580213455383,34.985906989642146,24.86963877249279,0.0,0.7266076329631779,0.7266076329631779,0.0,0.0,0.0,0.013,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.7,0.0,0.0,1.3,18,18.0,compute,0.0,0.2,0.2
dapper,congested,113,100.0,1000,24.72292431672843,33.938019364553725,34.77247181035648,34.98424994294581,24.72292431672843,0.0,0.7265134749764945,0.7265134749764945,0.0,0.0,0.0,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.3,0.0,0.0,0.7000000000000001,12,12.0,compute,0.0,0.2,0.2
dapper,congested,114,100.0,1000,24.915906991902833,33.99518413696301,34.87476614646897,34.96282987218834,24.915906991902833,0.0,0.7286233928366593,0.7286233928366593,0.0,0.0,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,0.0,0.0,0.8,10,10.0,compute,0.0,0.2,0.2
dapper,congested,115,100.0,1000,25.085740611498316,34.01033183391731,34.751795785617006,34.96593743598228,25.085740611498316,0.0,0.722824442674691,0.722824442674691,0.0,0.0,0.0,0.006,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.4,0.0,0.0,0.6,10,10.0,compute,0.0,0.2,0.2
dapper,congested,116,100.0,1000,25.324934204252145,33.95730249293956,34.77240430108412,34.9771698353159,25.324934204252145,0.0,0.7260315559209485,0.7260315559209485,0.0,0.0,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,0.0,0.0,0.8,16,16.0,compute,0.0,0.2,0.2
dapper,congested,117,100.0,1000,24.38620885543388,33.706919736517364,34.66361864084976,34.994340946660934,24.38620885543388,0.0,0.7253330615138619,0.7253330615138619,0.0,0.0,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,0.0,0.0,0.8,16,16.0,compute,0.0,0.2,0.2
dapper,congested,118,100.0,1000,25.01023416650803,34.01490807545646,34.75940662114508,34.968506891824205,25.01023416650803,0.0,0.7268033495517163,0.7268033495517163,0.0,0.0,0.0,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.3,0.0,0.0,0.7000000000000001,12,12.0,compute,0.0,0.2,0.2
dapper,congested,119,100.0,1000,25.237974362405513,33.930297923071485,34.79939395844596,34.97944595589328,25.237974362405513,0.0,0.7235998627315303,0.7235998627315303,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.5,0.0,0.0,0.5,8,8.0,compute,0.0,0.2,0.2
dapper,congested,120,100.0,1000,24.770729236686982,33.99634834863332,34.78821886321599,34.985958566309606,24.770729236686982,0.0,0.724149083598059,0.724149083598059,0.0,0.0,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,0.0,0.0,0.8,16,16.0,compute,0.0,0.2,0.2
