swept_parameter,swept_value,profile,policy,metric,mean,std,ci_lo,ci_hi,n_seeds
risk_local_threshold,0.25,outage,dapper,p99_latency_ms,34.18711647171901,0.2345203938192105,34.10222418561493,34.27049382149214,30
risk_local_threshold,0.25,outage,dapper,mean_latency_ms,7.381609814192322,0.14348774576691167,7.331697649688182,7.433717812533078,30
risk_local_threshold,0.25,outage,dapper,usable_confidence_proxy,0.7255264574970844,0.00273138929991575,0.7245230285258677,0.7264802357218441,30
risk_local_threshold,0.25,outage,dapper,mean_output_confidence,0.7255264574970844,0.00273138929991575,0.7245230285258677,0.7264802357218441,30
risk_local_threshold,0.25,outage,dapper,bandwidth_per_1000_frames_kb,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,outage,dapper,remote_attempt_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,outage,dapper,remote_accept_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,outage,dapper,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,outage,dapper,remote_rejected_deadline_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,outage,dapper,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,outage,dapper,fallback_rate,1.0,0.0,1.0,1.0,30
risk_local_threshold,0.25,outage,dapper,reuse_rate,0.7340333333333333,0.0029300268721061903,0.7329666666666668,0.7350333333333333,30
risk_local_threshold,0.25,outage,dapper,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,outage,dapper,mode_switches_per_1000,418.43333333333334,10.48375864860971,414.6666666666667,422.1333333333333,30
risk_local_threshold,0.25,outage,dapper,pct_local_fast,22.63,0.6012343624749752,22.419916666666666,22.84333333333333,30
risk_local_threshold,0.25,outage,dapper,pct_edge_accurate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,outage,dapper,pct_hybrid,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,outage,dapper,pct_degraded_safe,77.36999999999999,0.6012343624749765,77.15666666666668,77.58008333333335,30
risk_local_threshold,0.3,stable,dapper,deadline_miss_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,stable,dapper,p95_latency_ms,33.984265110354684,0.14612908292769589,33.9343159514038,34.036015368498674,30
risk_local_threshold,0.3,stable,dapper,p99_latency_ms,34.78401367177919,0.06560311317343774,34.76065987728268,34.806824911760046,30
risk_local_threshold,0.3,stable,dapper,mean_latency_ms,25.02027748999063,0.19474756789946776,24.952896569039584,25.094599531312916,30
risk_local_threshold,0.3,stable,dapper,usable_confidence_proxy,0.7783565394779198,0.0027525835214921935,0.7773924201793749,0.7793158130128365,30
risk_local_threshold,0.3,stable,dapper,mean_output_confidence,0.7249667322554326,0.0015304909747104968,0.7244513387101592,0.7255071023390036,30
risk_local_threshold,0.3,stable,dapper,bandwidth_per_1000_frames_kb,15690.0,435.52386212785,15537.479166666666,15840.020833333334,30
risk_local_threshold,0.3,stable,dapper,remote_attempt_rate,0.6276,0.01742095448511402,0.6214991666666665,0.6336008333333334,30
risk_local_threshold,0.3,stable,dapper,remote_accept_rate,0.5292588652524894,0.02486029594133587,0.5202854823148639,0.537773194816145,30
risk_local_threshold,0.3,stable,dapper,remote_accepted_per_frame,0.3320666666666667,0.016326271051185615,0.3263666666666667,0.33786666666666665,30
risk_local_threshold,0.3,stable,dapper,remote_rejected_deadline_rate,0.4603106375808987,0.023553558430568052,0.45225568351315315,0.46879729847869966,30
risk_local_threshold,0.3,stable,dapper,remote_failed_loss_rate,0.01043049716661195,0.004113622643794711,0.009036924156420814,0.011940694314126742,30
risk_local_threshold,0.3,stable,dapper,fallback_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,stable,dapper,reuse_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,stable,dapper,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,stable,dapper,mode_switches_per_1000,329.43333333333334,17.60423799550264,323.5,335.76666666666665,30
risk_local_threshold,0.3,stable,dapper,pct_local_fast,37.24,1.7420954485114024,36.639916666666664,37.85008333333334,30
risk_local_threshold,0.3,stable,dapper,pct_edge_accurate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,stable,dapper,pct_hybrid,62.76,1.7420954485114013,62.14991666666665,63.36008333333332,30
risk_local_threshold,0.3,stable,dapper,pct_degraded_safe,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,congested,dapper,deadline_miss_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,congested,dapper,p95_latency_ms,33.93663339562628,0.10384597263558462,33.89863800925726,33.97238476351824,30
risk_local_threshold,0.3,congested,dapper,p99_latency_ms,34.76774120719711,0.0574407179719229,34.74658413465894,34.7871629365586,30
risk_local_threshold,0.3,congested,dapper,mean_latency_ms,24.831886454720813,0.19570763546815947,24.76464899629824,24.902166867111045,30
risk_local_threshold,0.3,congested,dapper,usable_confidence_proxy,0.724962592880273,0.001562881778886257,0.7244059800112123,0.7255382569621288,30
risk_local_threshold,0.3,congested,dapper,mean_output_confidence,0.724962592880273,0.001562881778886257,0.7244059800112123,0.7255382569621288,30
risk_local_threshold,0.3,congested,dapper,bandwidth_per_1000_frames_kb,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,congested,dapper,remote_attempt_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,congested,dapper,remote_accept_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,congested,dapper,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,congested,dapper,remote_rejected_deadline_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,congested,dapper,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,congested,dapper,fallback_rate,0.007433333333333334,0.0027628487713469464,0.006500000000000001,0.008433333333333336,30
risk_local_threshold,0.3,congested,dapper,reuse_rate,0.007433333333333334,0.0027628487713469464,0.006500000000000001,0.008433333333333336,30
risk_local_threshold,0.3,congested,dapper,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,congested,dapper,mode_switches_per_1000,11.933333333333334,3.8768395707678267,10.6,13.266666666666667,30
risk_local_threshold,0.3,congested,dapper,pct_local_fast,99.25666666666667,0.27628487713469374,99.15666666666668,99.35000000000004,30
risk_local_threshold,0.3,congested,dapper,pct_edge_accurate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,congested,dapper,pct_hybrid,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,congested,dapper,pct_degraded_safe,0.7433333333333334,0.2762848771346947,0.6499999999999999,0.8433333333333334,30
risk_local_threshold,0.3,lossy,dapper,deadline_miss_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,lossy,dapper,p95_latency_ms,34.012278154614826,0.12120943376607804,33.96820622195287,34.05448763655662,30
risk_local_threshold,0.3,lossy,dapper,p99_latency_ms,34.80546807570768,0.06143547890706443,34.78316485257998,34.826772350222946,30
risk_local_threshold,0.3,lossy,dapper,mean_latency_ms,25.003209635014095,0.15974262798343122,24.94828249795479,25.06142062043607,30
risk_local_threshold,0.3,lossy,dapper,usable_confidence_proxy,0.7247968267120143,0.001322250002252836,0.724324432482122,0.7252569980501671,30
risk_local_threshold,0.3,lossy,dapper,mean_output_confidence,0.7247968267120143,0.001322250002252836,0.724324432482122,0.7252569980501671,30
risk_local_threshold,0.3,lossy,dapper,bandwidth_per_1000_frames_kb,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,lossy,dapper,remote_attempt_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,lossy,dapper,remote_accept_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,lossy,dapper,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,lossy,dapper,remote_rejected_deadline_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,lossy,dapper,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,lossy,dapper,fallback_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,lossy,dapper,reuse_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,lossy,dapper,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,lossy,dapper,mode_switches_per_1000,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,lossy,dapper,pct_local_fast,100.0,0.0,100.0,100.0,30
risk_local_threshold,0.3,lossy,dapper,pct_edge_accurate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,lossy,dapper,pct_hybrid,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,lossy,dapper,pct_degraded_safe,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,variable,dapper,deadline_miss_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,variable,dapper,p95_latency_ms,33.74407704498113,0.2126750836043015,33.67003978984998,33.81916560257354,30
risk_local_threshold,0.3,variable,dapper,p99_latency_ms,34.714468841675405,0.09257023559024172,34.679345892530314,34.74441433608218,30
risk_local_threshold,0.3,variable,dapper,mean_latency_ms,20.905161109397675,0.7368320428921273,20.650185695044428,21.16334665084393,30
risk_local_threshold,0.3,variable,dapper,usable_confidence_proxy,0.7258931514098174,0.0020407752073832996,0.725174079959681,0.7266005520461268,30
risk_local_threshold,0.3,variable,dapper,mean_output_confidence,0.7254994027179567,0.0019284055953487764,0.7248310671712469,0.7261726007467438,30
risk_local_threshold,0.3,variable,dapper,bandwidth_per_1000_frames_kb,94.16666666666667,55.19687855575576,75.0,113.33333333333333,30
