profile,policy,metric,mean,std,ci_lo,ci_hi,n_seeds
stable,deadline_greedy,deadline_miss_rate,0.0,0.0,0.0,0.0,30
stable,deadline_greedy,usable_confidence_proxy,0.7249667322554326,0.0015304909747104968,0.7244497389647496,0.7255141489616964,30
stable,deadline_greedy,mean_output_confidence,0.7249667322554326,0.0015304909747104968,0.7244497389647496,0.7255141489616964,30
stable,deadline_greedy,bandwidth_per_1000_frames_kb,0.0,0.0,0.0,0.0,30
stable,deadline_greedy,bandwidth_per_frame_kb,0.0,0.0,0.0,0.0,30
stable,deadline_greedy,fallback_rate,0.0,0.0,0.0,0.0,30
stable,deadline_greedy,reuse_rate,0.0,0.0,0.0,0.0,30
stable,deadline_greedy,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
stable,deadline_greedy,remote_attempt_rate,0.0,0.0,0.0,0.0,30
stable,deadline_greedy,remote_accept_rate,0.0,0.0,0.0,0.0,30
stable,deadline_greedy,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
stable,deadline_greedy,remote_rejected_deadline_rate,0.0,0.0,0.0,0.0,30
stable,deadline_greedy,remote_rejected_freshness_rate,0.0,0.0,0.0,0.0,30
stable,deadline_greedy,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
stable,deadline_greedy,mode_switches_per_1000,0.0,0.0,0.0,0.0,30
stable,deadline_greedy,pct_local_fast,100.0,0.0,100.0,100.0,30
stable,deadline_greedy,pct_edge_accurate,0.0,0.0,0.0,0.0,30
stable,deadline_greedy,pct_hybrid,0.0,0.0,0.0,0.0,30
stable,deadline_greedy,pct_degraded_safe,0.0,0.0,0.0,0.0,30
stable,confidence_deadline,mean_latency_ms,25.02027748999063,0.19474756789946776,24.95304205486045,25.093051974407306,30
stable,confidence_deadline,p95_latency_ms,33.984265110354684,0.14612908292769589,33.933733268366254,34.03567770889089,30
stable,confidence_deadline,p99_latency_ms,34.78401367177919,0.06560311317343774,34.76064921767133,34.80671039717899,30
stable,confidence_deadline,deadline_miss_rate,0.0,0.0,0.0,0.0,30
stable,confidence_deadline,usable_confidence_proxy,0.7249667322554326,0.0015304909747104968,0.7244497389647496,0.7255141489616964,30
stable,confidence_deadline,mean_output_confidence,0.7249667322554326,0.0015304909747104968,0.7244497389647496,0.7255141489616964,30
stable,confidence_deadline,bandwidth_per_1000_frames_kb,0.0,0.0,0.0,0.0,30
stable,confidence_deadline,bandwidth_per_frame_kb,0.0,0.0,0.0,0.0,30
stable,confidence_deadline,fallback_rate,0.0,0.0,0.0,0.0,30
stable,confidence_deadline,reuse_rate,0.0,0.0,0.0,0.0,30
stable,confidence_deadline,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
stable,confidence_deadline,remote_attempt_rate,0.0,0.0,0.0,0.0,30
stable,confidence_deadline,remote_accept_rate,0.0,0.0,0.0,0.0,30
stable,confidence_deadline,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
stable,confidence_deadline,remote_rejected_deadline_rate,0.0,0.0,0.0,0.0,30
stable,confidence_deadline,remote_rejected_freshness_rate,0.0,0.0,0.0,0.0,30
stable,confidence_deadline,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
stable,confidence_deadline,mode_switches_per_1000,0.0,0.0,0.0,0.0,30
stable,confidence_deadline,pct_local_fast,100.0,0.0,100.0,100.0,30
stable,confidence_deadline,pct_edge_accurate,0.0,0.0,0.0,0.0,30
stable,confidence_deadline,pct_hybrid,0.0,0.0,0.0,0.0,30
stable,confidence_deadline,pct_degraded_safe,0.0,0.0,0.0,0.0,30
stable,rtt_threshold,mean_latency_ms,25.02027748999063,0.19474756789946776,24.95304205486045,25.093051974407306,30
stable,rtt_threshold,p95_latency_ms,33.984265110354684,0.14612908292769589,33.933733268366254,34.03567770889089,30
stable,rtt_threshold,p99_latency_ms,34.78401367177919,0.06560311317343774,34.76064921767133,34.80671039717899,30
stable,rtt_threshold,deadline_miss_rate,0.0,0.0,0.0,0.0,30
stable,rtt_threshold,usable_confidence_proxy,0.7249667322554326,0.0015304909747104968,0.7244497389647496,0.7255141489616964,30
stable,rtt_threshold,mean_output_confidence,0.7249667322554326,0.0015304909747104968,0.7244497389647496,0.7255141489616964,30
stable,rtt_threshold,bandwidth_per_1000_frames_kb,0.0,0.0,0.0,0.0,30
stable,rtt_threshold,bandwidth_per_frame_kb,0.0,0.0,0.0,0.0,30
stable,rtt_threshold,fallback_rate,0.0,0.0,0.0,0.0,30
stable,rtt_threshold,reuse_rate,0.0,0.0,0.0,0.0,30
stable,rtt_threshold,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
stable,rtt_threshold,remote_attempt_rate,0.0,0.0,0.0,0.0,30
