profile,policy,bandwidth_per_1000_frames_kb__ci_hi,bandwidth_per_frame_kb__ci_hi,deadline_miss_rate__ci_hi,fallback_rate__ci_hi,mean_latency_ms__ci_hi,mean_output_confidence__ci_hi,mode_switches_per_1000__ci_hi,p95_latency_ms__ci_hi,p99_latency_ms__ci_hi,pct_degraded_safe__ci_hi,pct_edge_accurate__ci_hi,pct_hybrid__ci_hi,pct_local_fast__ci_hi,remote_accept_rate__ci_hi,remote_accepted_per_frame__ci_hi,remote_attempt_rate__ci_hi,remote_failed_loss_rate__ci_hi,remote_rejected_deadline_rate__ci_hi,remote_rejected_freshness_rate__ci_hi,reuse_rate__ci_hi,stale_acceptance_rate__ci_hi,usable_confidence_proxy__ci_hi,bandwidth_per_1000_frames_kb__ci_lo,bandwidth_per_frame_kb__ci_lo,deadline_miss_rate__ci_lo,fallback_rate__ci_lo,mean_latency_ms__ci_lo,mean_output_confidence__ci_lo,mode_switches_per_1000__ci_lo,p95_latency_ms__ci_lo,p99_latency_ms__ci_lo,pct_degraded_safe__ci_lo,pct_edge_accurate__ci_lo,pct_hybrid__ci_lo,pct_local_fast__ci_lo,remote_accept_rate__ci_lo,remote_accepted_per_frame__ci_lo,remote_attempt_rate__ci_lo,remote_failed_loss_rate__ci_lo,remote_rejected_deadline_rate__ci_lo,remote_rejected_freshness_rate__ci_lo,reuse_rate__ci_lo,stale_acceptance_rate__ci_lo,usable_confidence_proxy__ci_lo,bandwidth_per_1000_frames_kb__mean,bandwidth_per_frame_kb__mean,deadline_miss_rate__mean,fallback_rate__mean,mean_latency_ms__mean,mean_output_confidence__mean,mode_switches_per_1000__mean,p95_latency_ms__mean,p99_latency_ms__mean,pct_degraded_safe__mean,pct_edge_accurate__mean,pct_hybrid__mean,pct_local_fast__mean,remote_accept_rate__mean,remote_accepted_per_frame__mean,remote_attempt_rate__mean,remote_failed_loss_rate__mean,remote_rejected_deadline_rate__mean,remote_rejected_freshness_rate__mean,reuse_rate__mean,stale_acceptance_rate__mean,usable_confidence_proxy__mean,bandwidth_per_1000_frames_kb__std,bandwidth_per_frame_kb__std,deadline_miss_rate__std,fallback_rate__std,mean_latency_ms__std,mean_output_confidence__std,mode_switches_per_1000__std,p95_latency_ms__std,p99_latency_ms__std,pct_degraded_safe__std,pct_edge_accurate__std,pct_hybrid__std,pct_local_fast__std,remote_accept_rate__std,remote_accepted_per_frame__std,remote_attempt_rate__std,remote_failed_loss_rate__std,remote_rejected_deadline_rate__std,remote_rejected_freshness_rate__std,reuse_rate__std,stale_acceptance_rate__std,usable_confidence_proxy__std
lossy,dapper,18280.833333333332,18.28083333333333,0.0,0.0,25.060905216187447,0.7252513425625742,370.1333333333333,34.05448763655662,34.826599995826946,0.0,0.0,73.12333333333332,28.1,0.14159610786056306,0.1029,0.7312333333333334,0.19405866144504985,0.6824674498874379,0.0,0.0,0.0,0.7413865873770361,17975.0,17.975,0.0,0.0,24.94841033219709,0.7243290816945883,356.3325,33.96825412712669,34.78326714248661,0.0,0.0,71.9,26.876666666666665,0.1319855693266303,0.09559999999999999,0.7189999999999999,0.18169369863246687,0.6675875015850246,0.0,0.0,0.0,0.7398371863884554,18126.666666666668,18.12666666666667,0.0,0.0,25.003209635014095,0.7247968267120143,363.26666666666665,34.012278154614826,34.80546807570768,0.0,0.0,72.50666666666667,27.493333333333332,0.13679093773844395,0.0992,0.7250666666666666,0.1878872123203663,0.6753218499411897,0.0,0.0,0.0,0.7405908249005024,439.9222763118529,0.439922276311853,0.0,0.0,0.15974262798343122,0.001322250002252836,20.082473630667035,0.12120943376607804,0.06143547890706443,0.0,0.0,1.759689105247415,1.7596891052474113,0.013577245742963,0.010347080214510624,0.017596891052474133,0.01734266639357781,0.02119149299989947,0.0,0.0,0.0,0.0021791822011149593
lossy,deadline_greedy,0.0,0.0,0.0,0.0,25.060905216187447,0.7252513425625742,0.0,34.05448763655662,34.826599995826946,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7252513425625742,0.0,0.0,0.0,0.0,24.94841033219709,0.7243290816945883,0.0,33.96825412712669,34.78326714248661,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7243290816945883,0.0,0.0,0.0,0.0,25.003209635014095,0.7247968267120143,0.0,34.012278154614826,34.80546807570768,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7247968267120143,0.0,0.0,0.0,0.0,0.15974262798343122,0.001322250002252836,0.0,0.12120943376607804,0.06143547890706443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001322250002252836
lossy,edge_only,25000.0,25.0,0.8793666666666665,0.8793666666666665,121.3657623482195,0.7443549959720428,0.0,133.90940589108996,134.80221093635276,0.0,100.0,0.0,0.0,0.12943333333333334,0.12943333333333334,1.0,0.20479999999999995,0.6807666666666665,0.0,0.0,0.0,0.1133262894295496,25000.0,25.0,0.8705666666666666,0.8705666666666666,121.06514803949665,0.7426253007132612,0.0,133.8050507867707,134.74985270836646,0.0,100.0,0.0,0.0,0.12063333333333334,0.12063333333333334,1.0,0.19569916666666662,0.6684666666666668,0.0,0.0,0.0,0.10554597550977839,25000.0,25.0,0.8750666666666667,0.8750666666666667,121.21609851108734,0.7434737048265869,0.0,133.85583842676783,134.77750694468406,0.0,100.0,0.0,0.0,0.12493333333333334,0.12493333333333334,1.0,0.2001666666666667,0.6749000000000002,0.0,0.0,0.0,0.10932864090769345,0.0,0.0,0.012500850545775532,0.012500850545775532,0.4278732224908022,0.0024259067554197747,0.0,0.14881019917836424,0.07430751757261647,0.0,0.0,0.0,0.0,0.01250085054577552,0.01250085054577552,0.0,0.0129030424996249,0.01746000355492319,0.0,0.0,0.0,0.01103135108250066
lossy,local_only,0.0,0.0,0.0,0.0,25.060905216187447,0.7252513425625742,0.0,34.05448763655662,34.826599995826946,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7252513425625742,0.0,0.0,0.0,0.0,24.94841033219709,0.7243290816945883,0.0,33.96825412712669,34.78326714248661,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7243290816945883,0.0,0.0,0.0,0.0,25.003209635014095,0.7247968267120143,0.0,34.012278154614826,34.80546807570768,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7247968267120143,0.0,0.0,0.0,0.0,0.15974262798343122,0.001322250002252836,0.0,0.12120943376607804,0.06143547890706443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001322250002252836
lossy,oracle_feasible,3235.8333333333335,3.2358333333333333,0.0,0.0,34.022119461775894,0.7443549959720428,219.10083333333333,96.56076757193335,99.28786762238468,0.0,12.943333333333333,0.0,87.93666666666667,1.0,0.12943333333333334,0.12943333333333334,0.0,0.0,0.0,0.0,0.0,0.7443549959720428,3015.8333333333335,3.0158333333333336,0.0,0.0,33.412735453803855,0.7426253007132612,207.4325,96.08786420729545,99.13339016714401,0.0,12.063333333333334,0.0,87.05666666666666,1.0,0.12063333333333334,0.12063333333333334,0.0,0.0,0.0,0.0,0.0,0.7426253007132612,3123.3333333333335,3.123333333333333,0.0,0.0,33.70943184442068,0.7434737048265869,213.13333333333333,96.32680275736992,99.21094849802871,0.0,12.493333333333332,0.0,87.50666666666666,1.0,0.12493333333333334,0.12493333333333334,0.0,0.0,0.0,0.0,0.0,0.7434737048265869,312.52126364438806,0.31252126364438804,0.0,0.0,0.8663519725563767,0.0024259067554197747,16.771760611903225,0.6672307605289065,0.21803793061448445,0.0,1.2500850545775521,0.0,1.250085054577553,0.0,0.01250085054577552,0.01250085054577552,0.0,0.0,0.0,0.0,0.0,0.0024259067554197747
lossy,rtt_threshold,0.0,0.0,0.0,0.0,25.060905216187447,0.7252513425625742,0.0,34.05448763655662,34.826599995826946,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7252513425625742,0.0,0.0,0.0,0.0,24.94841033219709,0.7243290816945883,0.0,33.96825412712669,34.78326714248661,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7243290816945883,0.0,0.0,0.0,0.0,25.003209635014095,0.7247968267120143,0.0,34.012278154614826,34.80546807570768,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7247968267120143,0.0,0.0,0.0,0.0,0.15974262798343122,0.001322250002252836,0.0,0.12120943376607804,0.06143547890706443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001322250002252836
outage,cloud_only,5364.333333333333,5.364333333333333,0.15326666666666666,1.0,40.33059282035746,0.7254164481558691,0.0,128.44310799887478,133.7251359746709,0.0,100.0,0.0,0.0,0.0,0.0,0.15326666666666666,0.36238676210269494,0.6650648621949183,0.0,0.0,0.0,0.6232440517520567,4922.166666666667,4.922166666666668,0.14063333333333336,1.0,39.06650689927071,0.7244492443659767,0.0,127.70553940054009,133.3767322220303,0.0,100.0,0.0,0.0,0.0,0.0,0.14063333333333336,0.33493513780508155,0.6376132378973051,0.0,0.0,0.0,0.6139892776727712,5138.0,5.138000000000001,0.1468,1.0,39.690062503109026,0.7249467226228217,0.0,128.07706649270384,133.55336169996855,0.0,100.0,0.0,0.0,0.0,0.0,0.1468,0.34873016232709736,0.6512698376729025,0.0,0.0,0.0,0.6187231720593105,627.069814075066,0.6270698140750661,0.017916280402144744,0.0,1.7936904661708621,0.0013696023696029161,0.0,1.0513613154171975,0.4945316161528973,0.0,0.0,0.0,0.0,0.0,0.0,0.017916280402144744,0.03850931772583731,0.03850931772583731,0.0,0.0,0.0,0.013185832525004102
outage,confidence_deadline,0.0,0.0,0.0,0.0,25.069265526914986,0.7254164481558691,0.0,34.06642381717916,34.804889127165445,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7254164481558691,0.0,0.0,0.0,0.0,24.95106672715531,0.7244492443659767,0.0,33.95612468699971,34.750279067861925,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7244492443659767,0.0,0.0,0.0,0.0,25.010062503109022,0.7249467226228217,0.0,34.0121154317442,34.777699557235714,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7249467226228217,0.0,0.0,0.0,0.0,0.1685788631806354,0.0013696023696029161,0.0,0.15795577821290474,0.07705312091530245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013696023696029161
outage,dapper,0.0,0.0,0.0,1.0,7.433043705764936,0.7264857617893061,422.06666666666666,31.362502768723584,34.26953293501419,77.58333333333333,0.0,0.0,22.83666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.7350333333333333,0.0,0.7264857617893061,0.0,0.0,0.0,1.0,7.332516468225608,0.724534548793681,414.6333333333333,31.01292571232953,34.10277591133732,77.16333333333333,0.0,0.0,22.416666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.7329666666666668,0.0,0.724534548793681,0.0,0.0,0.0,1.0,7.381609814192322,0.7255264574970844,418.43333333333334,31.18838425196936,34.18711647171901,77.36999999999999,0.0,0.0,22.63,0.0,0.0,0.0,0.0,0.0,0.0,0.7340333333333333,0.0,0.7255264574970844,0.0,0.0,0.0,0.0,0.14348774576691167,0.00273138929991575,10.48375864860971,0.5009047087578914,0.2345203938192105,0.6012343624749765,0.0,0.0,0.6012343624749752,0.0,0.0,0.0,0.0,0.0,0.0,0.0029300268721061903,0.0,0.00273138929991575
outage,deadline_greedy,0.0,0.0,0.0,0.0,25.069265526914986,0.7254164481558691,0.0,34.06642381717916,34.804889127165445,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7254164481558691,0.0,0.0,0.0,0.0,24.95106672715531,0.7244492443659767,0.0,33.95612468699971,34.750279067861925,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7244492443659767,0.0,0.0,0.0,0.0,25.010062503109022,0.7249467226228217,0.0,34.0121154317442,34.777699557235714,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7249467226228217,0.0,0.0,0.0,0.0,0.1685788631806354,0.0013696023696029161,0.0,0.15795577821290474,0.07705312091530245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013696023696029161
