metric,policy_a,policy_b,profile,n_seeds,mean_diff,ci_lo,ci_hi,std,excludes_zero,a_mean,b_mean
p95_latency_ms,dapper,confidence_deadline,variable,30,-0.2240719799256162,-0.26881002296579865,-0.18060073606690888,0.12474292792948971,True,33.74407704498113,33.968149024906744
usable_confidence_proxy,dapper,confidence_deadline,variable,30,0.006223865876464437,0.005587430916279176,0.006840259236049671,0.0017836659540701025,True,0.731537829380306,0.7253139635038416
bandwidth_per_1000_frames_kb,dapper,confidence_deadline,variable,30,5777.5,5557.5,5997.5,618.9308774285564,True,5777.5,0.0
mean_latency_ms,dapper,confidence_deadline,variable,30,-4.0491067717703455,-4.318142004735104,-3.7812068269710846,0.7472957040025575,True,20.905161109397675,24.954267881168015
deadline_miss_rate,dapper,rtt_threshold,variable,30,-0.00023333333333333333,-0.00043333333333333337,-6.666666666666667e-05,0.000504006932993731,True,0.0,0.00023333333333333333
p95_latency_ms,dapper,rtt_threshold,variable,30,-0.2426188934563593,-0.2923349468866055,-0.19453702299984227,0.13703696272641705,True,33.74407704498113,33.986695938437485
usable_confidence_proxy,dapper,rtt_threshold,variable,30,0.006297847816410755,0.005647718751280953,0.006913124433862088,0.0018112121019217922,True,0.731537829380306,0.7252399815638955
bandwidth_per_1000_frames_kb,dapper,rtt_threshold,variable,30,5759.166666666667,5541.645833333334,5977.5,617.7155959430394,True,5777.5,18.333333333333332
mean_latency_ms,dapper,rtt_threshold,variable,30,-4.099784283349205,-4.3664550290225606,-3.8318310249864016,0.7421990008552624,True,20.905161109397675,25.004945392746876
deadline_miss_rate,dapper,oracle_feasible,variable,30,0.0,0.0,0.0,0.0,False,0.0,0.0
p95_latency_ms,dapper,oracle_feasible,variable,30,-8.284572246560572,-14.561783422104176,-2.5745418462317726,16.806137271142084,True,33.74407704498113,42.028649291541704
usable_confidence_proxy,dapper,oracle_feasible,variable,30,-0.00014425861690633794,-0.0004963046164584091,0.00020624928498582133,0.0009963565406802227,False,0.731537829380306,0.7316820879972125
bandwidth_per_1000_frames_kb,dapper,oracle_feasible,variable,30,4728.333333333333,4535.0,4926.666666666667,560.662067579918,True,5777.5,1049.1666666666667
mean_latency_ms,dapper,oracle_feasible,variable,30,-6.879851947281231,-7.171802680650827,-6.561740351548631,0.8710810191923601,True,20.905161109397675,27.785013056678896
deadline_miss_rate,dapper,local_only,outage,30,0.0,0.0,0.0,0.0,False,0.0,0.0
p95_latency_ms,dapper,local_only,outage,30,-2.8237311797748306,-2.983269864160442,-2.659076149250431,0.45990321067214307,True,31.18838425196936,34.0121154317442
usable_confidence_proxy,dapper,local_only,outage,30,0.0005797348742627273,-0.00024954573305228044,0.0014430284010222975,0.002400240526800291,False,0.7255264574970844,0.7249467226228217
bandwidth_per_1000_frames_kb,dapper,local_only,outage,30,0.0,0.0,0.0,0.0,False,0.0,0.0
mean_latency_ms,dapper,local_only,outage,30,-17.6284526889167,-17.68282878252973,-17.577741410864913,0.1499301010797902,True,7.381609814192322,25.010062503109022
deadline_miss_rate,dapper,edge_only,outage,30,-0.1468,-0.15326666666666666,-0.14063333333333336,0.017916280402144744,True,0.0,0.1468
p95_latency_ms,dapper,edge_only,outage,30,-96.88868224073445,-97.34769366326017,-96.44326899102637,1.284843881523376,True,31.18838425196936,128.07706649270384
usable_confidence_proxy,dapper,edge_only,outage,30,0.106803285437774,0.10229992766998228,0.11156830505706113,0.013082918344969116,True,0.7255264574970844,0.6187231720593105
bandwidth_per_1000_frames_kb,dapper,edge_only,outage,30,-3670.0,-3831.6666666666665,-3515.8333333333335,447.9070100536186,True,0.0,3670.0
mean_latency_ms,dapper,edge_only,outage,30,-32.308452688916695,-32.96306307373821,-31.680116137657297,1.8149337986006924,True,7.381609814192322,39.690062503109026
deadline_miss_rate,dapper,cloud_only,outage,30,-0.1468,-0.15326666666666666,-0.14063333333333336,0.017916280402144744,True,0.0,0.1468
p95_latency_ms,dapper,cloud_only,outage,30,-96.88868224073445,-97.34769366326017,-96.44326899102637,1.284843881523376,True,31.18838425196936,128.07706649270384
usable_confidence_proxy,dapper,cloud_only,outage,30,0.106803285437774,0.10229992766998228,0.11156830505706113,0.013082918344969116,True,0.7255264574970844,0.6187231720593105
bandwidth_per_1000_frames_kb,dapper,cloud_only,outage,30,-5138.0,-5364.333333333333,-4922.166666666667,627.069814075066,True,0.0,5138.0
mean_latency_ms,dapper,cloud_only,outage,30,-32.308452688916695,-32.96306307373821,-31.680116137657297,1.8149337986006924,True,7.381609814192322,39.690062503109026
deadline_miss_rate,dapper,deadline_greedy,outage,30,0.0,0.0,0.0,0.0,False,0.0,0.0
p95_latency_ms,dapper,deadline_greedy,outage,30,-2.8237311797748306,-2.983269864160442,-2.659076149250431,0.45990321067214307,True,31.18838425196936,34.0121154317442
usable_confidence_proxy,dapper,deadline_greedy,outage,30,0.0005797348742627273,-0.00024954573305228044,0.0014430284010222975,0.002400240526800291,False,0.7255264574970844,0.7249467226228217
bandwidth_per_1000_frames_kb,dapper,deadline_greedy,outage,30,0.0,0.0,0.0,0.0,False,0.0,0.0
mean_latency_ms,dapper,deadline_greedy,outage,30,-17.6284526889167,-17.68282878252973,-17.577741410864913,0.1499301010797902,True,7.381609814192322,25.010062503109022
deadline_miss_rate,dapper,confidence_deadline,outage,30,0.0,0.0,0.0,0.0,False,0.0,0.0
p95_latency_ms,dapper,confidence_deadline,outage,30,-2.8237311797748306,-2.983269864160442,-2.659076149250431,0.45990321067214307,True,31.18838425196936,34.0121154317442
usable_confidence_proxy,dapper,confidence_deadline,outage,30,0.0005797348742627273,-0.00024954573305228044,0.0014430284010222975,0.002400240526800291,False,0.7255264574970844,0.7249467226228217
bandwidth_per_1000_frames_kb,dapper,confidence_deadline,outage,30,0.0,0.0,0.0,0.0,False,0.0,0.0
mean_latency_ms,dapper,confidence_deadline,outage,30,-17.6284526889167,-17.68282878252973,-17.577741410864913,0.1499301010797902,True,7.381609814192322,25.010062503109022
deadline_miss_rate,dapper,rtt_threshold,outage,30,0.0,0.0,0.0,0.0,False,0.0,0.0
p95_latency_ms,dapper,rtt_threshold,outage,30,-2.8237311797748306,-2.983269864160442,-2.659076149250431,0.45990321067214307,True,31.18838425196936,34.0121154317442
usable_confidence_proxy,dapper,rtt_threshold,outage,30,0.0005797348742627273,-0.00024954573305228044,0.0014430284010222975,0.002400240526800291,False,0.7255264574970844,0.7249467226228217
bandwidth_per_1000_frames_kb,dapper,rtt_threshold,outage,30,0.0,0.0,0.0,0.0,False,0.0,0.0
mean_latency_ms,dapper,rtt_threshold,outage,30,-17.6284526889167,-17.68282878252973,-17.577741410864913,0.1499301010797902,True,7.381609814192322,25.010062503109022
deadline_miss_rate,dapper,oracle_feasible,outage,30,0.0,0.0,0.0,0.0,False,0.0,0.0
p95_latency_ms,dapper,oracle_feasible,outage,30,-2.8237311797748306,-2.983269864160442,-2.659076149250431,0.45990321067214307,True,31.18838425196936,34.0121154317442
usable_confidence_proxy,dapper,oracle_feasible,outage,30,0.0005797348742627273,-0.00024954573305228044,0.0014430284010222975,0.002400240526800291,False,0.7255264574970844,0.7249467226228217
bandwidth_per_1000_frames_kb,dapper,oracle_feasible,outage,30,0.0,0.0,0.0,0.0,False,0.0,0.0
mean_latency_ms,dapper,oracle_feasible,outage,30,-17.6284526889167,-17.68282878252973,-17.577741410864913,0.1499301010797902,True,7.381609814192322,25.010062503109022
deadline_miss_rate,dapper,local_only,ALL,30,0.0,0.0,0.0,0.0,False,0.0,0.0
p95_latency_ms,dapper,local_only,ALL,30,-0.6107718979995861,-0.64412786967088,-0.5766070636257918,0.09481121525814847,True,33.37312759150925,33.983899489508836
usable_confidence_proxy,dapper,local_only,ALL,30,0.018732589439593585,0.01840611824851057,0.01905867491702961,0.0009353234074794356,True,0.7437230794947993,0.7249904900552055
bandwidth_per_1000_frames_kb,dapper,local_only,ALL,30,9105.666666666666,9045.995833333332,9164.833333333334,168.55743589471896,True,9105.666666666666,0.0
mean_latency_ms,dapper,local_only,ALL,30,-4.3716540188217765,-4.425478066977364,-4.317397349053412,0.1518257854484623,True,20.628428900663106,25.000082919484882
deadline_miss_rate,dapper,edge_only,ALL,30,-0.6499133333333333,-0.6542868333333332,-0.6458133333333332,0.011933919590042882,True,0.0,0.6499133333333333
p95_latency_ms,dapper,edge_only,ALL,30,-99.08258547820944,-99.16983321062236,-98.99625839068553,0.24397016157521864,True,33.37312759150925,132.4557130697187
usable_confidence_proxy,dapper,edge_only,ALL,30,0.4694955239341343,0.4665432405102217,0.4726148834041577,0.008593205956554528,True,0.7437230794947993,0.27422755556066497
bandwidth_per_1000_frames_kb,dapper,edge_only,ALL,30,-10538.333333333334,-10631.670833333334,-10445.154166666667,265.78229791514985,True,9105.666666666666,19644.0
mean_latency_ms,dapper,edge_only,ALL,30,-78.03521582293386,-78.36460657583989,-77.72322675212251,0.9025828908544313,True,20.628428900663106,98.66364472359695
deadline_miss_rate,dapper,cloud_only,ALL,30,-0.7857599999999998,-0.7892735000000001,-0.7823666666666665,0.009657785853196717,True,0.0,0.7857599999999998
p95_latency_ms,dapper,cloud_only,ALL,30,-99.36340639958563,-99.45625445172726,-99.27433179995299,0.2582840507296567,True,33.37312759150925,132.7365339910949
