policy,profile,seed,deadline_ms,frames,mean_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,mean_final_latency_ms,deadline_miss_rate,mean_output_confidence,usable_confidence_proxy,total_bandwidth_kb,bandwidth_per_frame_kb,bandwidth_per_1000_frames_kb,fallback_rate,reuse_rate,stale_acceptance_rate,remote_attempt_rate,remote_success_rate,remote_accept_rate,remote_accepted_per_frame,remote_rejected_deadline_rate,remote_rejected_freshness_rate,remote_failed_loss_rate,remote_unreachable_rate,pct_local_fast,pct_edge_accurate,pct_hybrid,pct_degraded_safe,mode_switches,mode_switches_per_1000
confidence_deadline,lossy,128,100.0,1000,25.361525346794913,34.112832194106765,34.722796126768856,34.99638466136344,25.361525346794913,0.0,0.7258146565752936,0.7258146565752936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
rtt_threshold,lossy,128,100.0,1000,25.361525346794913,34.112832194106765,34.722796126768856,34.99638466136344,25.361525346794913,0.0,0.7258146565752936,0.7258146565752936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
oracle_feasible,lossy,128,100.0,1000,34.11448590207706,96.01391354213811,98.92999644432743,99.99691320187907,34.11448590207706,0.0,0.744224032841594,0.744224032841594,3200.0,3.2,3200.0,0.0,0.0,0.0,0.128,1.0,1.0,0.128,0.0,0.0,0.0,0.0,87.2,12.8,0.0,0.0,220,220.0
local_only,lossy,129,100.0,1000,24.956002553810663,34.060395492680186,34.85750602439408,34.980831653703675,24.956002553810663,0.0,0.7240405957959037,0.7240405957959037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
edge_only,lossy,129,100.0,1000,121.24167621610422,134.03510955136505,134.83783130129694,134.98083165370366,121.24167621610422,0.876,0.7420604978729614,0.10817208254271221,25000.0,25.0,25000.0,0.876,0.0,0.0,1.0,0.809,0.124,0.124,0.685,0.0,0.191,0.0,0.0,100.0,0.0,0.0,0,0.0
cloud_only,lossy,129,100.0,1000,124.95600255381068,134.0603954926802,134.85750602439407,134.98083165370366,124.95600255381068,1.0,0.7240405957959037,0.0,35000.0,35.0,35000.0,1.0,0.0,0.0,1.0,0.777,0.0,0.0,0.777,0.0,0.223,0.0,0.0,100.0,0.0,0.0,0,0.0
dapper,lossy,129,100.0,1000,24.956002553810663,34.060395492680186,34.85750602439408,34.980831653703675,31.49496513929532,0.0,0.7240405957959037,0.7388445901022926,18725.0,18.725,18725.0,0.0,0.0,0.0,0.749,0.8130841121495327,0.12550066755674233,0.094,0.6875834445927904,0.0,0.18691588785046728,0.0,25.1,0.0,74.9,0.0,351,351.0
deadline_greedy,lossy,129,100.0,1000,24.956002553810663,34.060395492680186,34.85750602439408,34.980831653703675,24.956002553810663,0.0,0.7240405957959037,0.7240405957959037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
confidence_deadline,lossy,129,100.0,1000,24.956002553810663,34.060395492680186,34.85750602439408,34.980831653703675,24.956002553810663,0.0,0.7240405957959037,0.7240405957959037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
rtt_threshold,lossy,129,100.0,1000,24.956002553810663,34.060395492680186,34.85750602439408,34.980831653703675,24.956002553810663,0.0,0.7240405957959037,0.7240405957959037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
