variant,profile,seed,deadline_ms,frames,mean_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,mean_final_latency_ms,deadline_miss_rate,mean_output_confidence,usable_confidence_proxy,total_bandwidth_kb,bandwidth_per_frame_kb,bandwidth_per_1000_frames_kb,fallback_rate,reuse_rate,stale_acceptance_rate,remote_attempt_rate,remote_success_rate,remote_accept_rate,remote_accepted_per_frame,remote_rejected_deadline_rate,remote_rejected_freshness_rate,remote_failed_loss_rate,remote_unreachable_rate,pct_local_fast,pct_edge_accurate,pct_hybrid,pct_degraded_safe,mode_switches,mode_switches_per_1000
dapper_full,variable,120,100.0,1000,21.637219680970638,33.96526001626422,34.71258654891299,34.99491157025027,24.157473320400253,0.0,0.7236256274039456,0.7299055176505913,7075.0,7.075,7075.0,0.179,0.134,0.0,0.283,0.9399293286219081,0.13074204946996468,0.037,0.8091872791519434,0.0,0.06007067137809187,0.0,58.3,0.0,28.299999999999997,13.4,319,319.0
dapper_full,variable,121,100.0,1000,20.769854338698046,33.76407787463392,34.80089032279628,34.994688323129196,24.68125200719413,0.0,0.7246801812954811,0.7345887093906228,6775.0,6.775,6775.0,0.217,0.168,0.0,0.271,0.948339483394834,0.2140221402214022,0.058,0.7343173431734318,0.0,0.05166051660516605,0.0,56.10000000000001,0.0,27.1,16.8,311,311.0
dapper_full,variable,122,100.0,1000,21.13175821444513,33.694416258508085,34.631522901173106,34.97317679379236,24.23120819446242,0.0,0.727101792089757,0.7340206501603544,5650.0,5.65,5650.0,0.197,0.151,0.0,0.226,0.9557522123893806,0.19911504424778761,0.045,0.7566371681415929,0.0,0.04424778761061947,0.0,62.3,0.0,22.6,15.1,312,312.0
dapper_full,variable,123,100.0,1000,21.09321361110236,33.79103353765298,34.79488657343286,34.98222422308634,23.181419503996473,0.0,0.7282104611957531,0.7339684088091011,5550.0,5.55,5550.0,0.215,0.164,0.0,0.222,0.9369369369369369,0.14414414414414414,0.032,0.7927927927927928,0.0,0.06306306306306306,0.0,61.4,0.0,22.2,16.400000000000002,318,318.0
dapper_full,variable,124,100.0,1000,21.732988484636902,33.61582768332837,34.67732058291188,34.996246009129095,23.750766552712175,0.0,0.7242599698219147,0.7290090601287487,6700.0,6.7,6700.0,0.169,0.132,0.0,0.268,0.8955223880597015,0.11194029850746269,0.03,0.7835820895522388,0.0,0.1044776119402985,0.0,60.0,0.0,26.8,13.200000000000001,338,338.0
dapper_full,variable,125,100.0,1000,20.769788307085673,33.55572104656107,34.7780426012565,34.94952031560075,23.64318483654006,0.0,0.7246252838037862,0.7310543455649272,5925.0,5.925,5925.0,0.222,0.17,0.0,0.237,0.9409282700421941,0.17721518987341772,0.042,0.7637130801687764,0.0,0.05907172995780591,0.0,59.3,0.0,23.7,17.0,320,320.0
dapper_full,variable,126,100.0,1000,21.1478810158433,33.75159446968112,34.720173914570076,34.997585709381326,23.72466143080774,0.0,0.730137150017489,0.7363161985328225,5775.0,5.775,5775.0,0.21,0.163,0.0,0.231,0.9307359307359307,0.16883116883116883,0.039,0.7619047619047619,0.0,0.06926406926406926,0.0,60.6,0.0,23.1,16.3,315,315.0
dapper_full,variable,127,100.0,1000,20.660215773075464,34.01155392391131,34.710521322396545,34.9805264786951,22.9640357303438,0.0,0.7254115546748069,0.7311096624471685,5750.0,5.75,5750.0,0.245,0.187,0.0,0.23,0.9521739130434783,0.14347826086956522,0.033,0.808695652173913,0.0,0.04782608695652174,0.0,58.3,0.0,23.0,18.7,329,329.0
dapper_full,variable,128,100.0,1000,19.588881490818014,33.63444553862527,34.724924465655434,34.96530254190218,21.60420490748735,0.0,0.7261101277963585,0.7302212879187465,4475.0,4.475,4475.0,0.278,0.214,0.0,0.179,0.9162011173184358,0.16201117318435754,0.029,0.7541899441340782,0.0,0.08379888268156424,0.0,60.699999999999996,0.0,17.9,21.4,299,299.0
dapper_full,variable,129,100.0,1000,21.009790891695804,33.95183803633796,34.77333674805944,34.967648156933706,23.06959798697679,0.0,0.7216296347896245,0.7265740112000998,5425.0,5.425,5425.0,0.227,0.175,0.0,0.217,0.9447004608294931,0.14746543778801843,0.032,0.7972350230414746,0.0,0.055299539170506916,0.0,60.8,0.0,21.7,17.5,312,312.0
dapper_full,congested,100,100.0,1000,24.824557271985057,33.928407620489025,34.77556075006328,34.97404020175507,24.824557271985057,0.0,0.7231225654703062,0.7231225654703062,0.0,0.0,0.0,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.6,0.0,0.0,0.4,8,8.0
dapper_full,congested,101,100.0,1000,25.026673523971784,34.03466107987438,34.84243479054015,34.99327875607795,25.026673523971784,0.0,0.7239603822715144,0.7239603822715144,0.0,0.0,0.0,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.3,0.0,0.0,0.7000000000000001,12,12.0
dapper_full,congested,102,100.0,1000,24.829712790777762,33.96479457393766,34.69588731781126,34.989536221406055,24.829712790777762,0.0,0.7270052366898776,0.7270052366898776,0.0,0.0,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,0.0,0.0,0.8,14,14.0
dapper_full,congested,103,100.0,1000,24.892785643695664,34.09454856492267,34.78542999553827,34.985893217625524,24.892785643695664,0.0,0.7249187188165734,0.7249187188165734,0.0,0.0,0.0,0.006,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.4,0.0,0.0,0.6,12,12.0
dapper_full,congested,104,100.0,1000,24.77796847513708,33.81394766067372,34.81048977789511,34.94578824107255,24.77796847513708,0.0,0.7272547943451833,0.7272547943451833,0.0,0.0,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,0.0,0.0,0.8,14,14.0
dapper_full,congested,105,100.0,1000,24.677162661323955,34.007432758127685,34.86009343610894,34.98145078352877,24.677162661323955,0.0,0.7241646482306923,0.7241646482306923,25.0,0.025,25.0,0.008,0.008,0.0,0.001,1.0,0.0,0.0,1.0,0.0,0.0,0.0,99.1,0.0,0.1,0.8,14,14.0
dapper_full,congested,106,100.0,1000,24.772684967250918,33.98450796903268,34.753821099438774,34.98979405154197,24.772684967250918,0.0,0.7262080408789683,0.7262080408789683,0.0,0.0,0.0,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.3,0.0,0.0,0.7000000000000001,8,8.0
dapper_full,congested,107,100.0,1000,24.763848167260303,33.88426057014752,34.77470672268729,34.998762184541775,24.763848167260303,0.0,0.7257346306649486,0.7257346306649486,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.5,0.0,0.0,0.5,8,8.0
dapper_full,congested,108,100.0,1000,24.953177155047733,33.943119032195405,34.814499351033405,34.99655745974279,24.953177155047733,0.0,0.7244295155267036,0.7244295155267036,0.0,0.0,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,0.0,0.0,0.8,14,14.0
